,,5. Business Metrics,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,#,Category,Metrics,WoW,WK-12,WK-11,WK-10,WK-09,WK-08,WK-07,,MoM,Mar'26,Feb'26,Jan'26,,Mar'26 OP2,v/s OP2,,Mar'25,MTD YoY,YTD,YTD LY,YoY,YTD OP2,v/s OP2
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HCTP,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coverage of Exchange,,,,,,,,,,,,,,,,,,,,,,,
,1,WLD,Demand Coverage,-30,94.31%,94.61%,94.97%,95.76%,95.62%,95.04%,,-83,94.60%,95.43%,95.26%,,94.7%,-10,,95.22%,-62,95.16%,95.40%,-24,93.93%,123
,2,WLD,Used item selection (gap vs SIC),99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,,,NA,,98.86%,41,,98.86%,41,,7,,,,,,
,3,Laptop,Demand Coverage,-201,94.39%,96.40%,95.90%,96.12%,96.27%,94.50%,,-4,95.57%,95.61%,95.58%,,95.0%,57,,95.35%,22,95.59%,95.72%,-14,95.78%,-19
,4,Ref,Demand Coverage,32,76.32%,76.00%,76.13%,77.71%,76.82%,75.78%,,-106,76.15%,77.21%,77.11%,,70.0%,615,,69.28%,687,76.79%,70.64%,615,70.00%,679
,5,WM,Demand Coverage,-128,79.72%,81.00%,81.95%,81.77%,80.73%,80.72%,,3,80.92%,80.89%,80.16%,,75.0%,592,,74.55%,637,80.55%,74.34%,622,75.00%,555
,6,AC,Demand Coverage,-170,81.89%,83.59%,82.06%,82.34%,81.12%,80.80%,,112,82.72%,81.60%,79.91%,,75.0%,772,,77.40%,532,81.88%,77.32%,456,75.00%,688
,7,TV,Demand Coverage,6,72.95%,72.89%,73.45%,73.48%,72.32%,73.00%,,-1,73.08%,73.10%,70.90%,,65.0%,808,,64.56%,852,71.99%,61.72%,1027,65.00%,699
,,,Exchange Value Competitiveness,,,,,,,,,,,,,,,,,,,,,,,
,8,WLD,Base discount comp. vs 75% SIC discount (% of sessions),13,98.69%,98.56%,98.90%,99.25%,98.99%,97.37%,,16,98.71%,98.55%,97.79%,,90.0%,871,,92.61%,610,98.20%,86.55%,1165,90%,820
,9,WLD,Base discount comp. vs 100% SIC discount (% of sessions),102,61.70%,60.68%,59.14%,57.43%,56.50%,45.25%,,721,60.57%,53.36%,57.27%,,36.0%,2457,,33.01%,2756,57.39%,26.07%,3131,32%,2539
